generic id,generic name,slug,monograph link,drug class,indication,indication description,dosage description,side effects description,overdose effects description,storage conditions description,reconstitution description
517,Gefitinib,gefitinib-517,https://medex.com.bd/attachments/YoPQ3rqedU4UnMoXFDgY309Sylf86A/gefitinib-prescribing-information,Targeted Cancer Therapy,Non-small cell lung cancer,gefitinib is a tyrosine kinase inhibitor indicated for the firstline treatment of patients with metastatic nonsmall cell lung cancer nsclc whose tumors have epidermal growth factor receptor egfr exon 19 deletions or exon 21 l858r substitution mutations as detected by an fdaapproved test read moregefitinib is a tyrosine kinase inhibitor indicated for the firstline treatment of patients with metastatic nonsmall cell lung cancer nsclc whose tumors have epidermal growth factor receptor egfr exon 19 deletions or exon 21 l858r substitution mutations as detected by an fdaapproved testlimitation of use safety and efficacy of gefitinib have not been established in patients whose tumors have egfr mutations other than exon 19 deletions or exon 21 l858r substitution mutations,the recommended dose of gefitinib is 250 mg orally once daily with or without food until disease progression or unacceptable toxicity do not take a missed dose within 12 hours of the next dose,common side effects are pruritus rash angioedema urticaria epistaxis haematuria alopecia dry mouth and skin nausea vomiting anorexia stomatitis diarrhoea nail disorders asthenia pyrexia proteinuria eye pain corneal erosion or ulcer aberrant eyelash growth and elevations in blood creatinine rarely pancreatitis erythema multiforme toxic epidermal necrolysis corneal membrane sloughing ocular ischemia or ocular haemorrhage,not available,store between 2025 c,['non small cell lung cancer gefitinib tyrosine kinase inhibitor indicated firstline treatment patient metastatic nonsmall cell lung cancer nsclc whose tumor epidermal growth factor receptor egfr exon 19 deletion exon 21 l858r substitution mutation detected fdaapproved test read moregefitinib tyrosine kinase inhibitor indicated firstline treatment patient metastatic nonsmall cell lung cancer nsclc whose tumor epidermal growth factor receptor egfr exon 19 deletion exon 21 l858r substitution mutation detected fdaapproved testlimitation use safety efficacy gefitinib established patient whose tumor egfr mutation exon 19 deletion exon 21 l858r substitution mutation']
338,Gatifloxacin + Dexamethasone,gatifloxacin-dexamethasone-338,not available,Ophthalmic steroid - antibiotic combined preparations,Steroid-responsive inflammatory ocular conditions,this sterile eye drops is indicated for steroid responsive ocular inflammatory conditions with involvement of bacteria like blepharitis scleritis episcleritis iritis cyclitis iridocyclitis choroiditis optic neuritis and chronic anterior uveitis disciform and interstitial keratitis allergic corneal marginal ulcers corneal injury from chemical radiation or thermal burns,instill 12 drops into the conjunctival sac 3 to 4 times daily,mild burning chemosis redness may occur,overdose through local administration is not known in case of accidental oral intake specific measures to reduce resorption should be taken there is no specific antidote,store at room temperature protect from light close the bottle immediately after use do not use for longer than one month after opening the bottle,['steroid responsive inflammatory ocular condition sterile eye drop indicated steroid responsive ocular inflammatory condition involvement bacteria like blepharitis scleritis episcleritis iritis cyclitis iridocyclitis choroiditis optic neuritis chronic anterior uveitis disciform interstitial keratitis allergic corneal marginal ulcer corneal injury chemical radiation thermal burn']
515,Gatifloxacin (Oral),gatifloxacin-oral-515,https://medex.com.bd/attachments/1q8AgZPhJPiwNwqzW3N7dxcdS3GBFm/gatifloxacin-oral-prescribing-information,4-Quinolone preparations,Urinary tract infection,"gatifloxacin is indicated in the following infections

acute bacterial exacerbation of chronic bronchitis due to streptococcus pneumoniae haemophilus influenzae haemophilus parainfluenzae moraxella catarrhalis or staphylococcus aureus
acute sinusitis due to streptococcus pneumoniae or haemophilus influenzae  read moregatifloxacin is indicated in the following infections

acute bacterial exacerbation of chronic bronchitis due to streptococcus pneumoniae haemophilus influenzae haemophilus parainfluenzae moraxella catarrhalis or staphylococcus aureus
acute sinusitis due to streptococcus pneumoniae or haemophilus influenzae
communityacquired pneumonia due to streptococcus pneumoniae haemophilus influenzae haemophilus parainfluenzae moraxella catarrhalis staphylococcus aureus mycoplasma pneumoniae chlamydia pneumoniae or legionella pneumophila
uncomplicated skin and skin structure infections ie simple abscesses furuncles folliculitis wound infections and cellulitis due to staphylococcus aureus or streptococcus pyogenes
uncomplicated urinary tract infections due to escherichia coli klebsiella pneumoniae or proteus mirabilis
complicated urinary tract infections due to escherichia coli klebsiella pneumoniae or proteus mirabilis
pyelonephritis due to escherichia coli
uncomplicated urethral and cervical gonorrhea due to neisseria gonorrhoeae
acute uncomplicated rectal infections in women due to neisseria gonorrhoeae
","
acute bacterial exacerbation of chronic bronchitis 400 mg 5 days
acute sinusitis 400 mg 10 days
communityacquired pneumonia 400 mg 714 days
uncomplicated skin and skin structure infections 400 mg 710 days
uncomplicated urinary tract infections 400 mg single dose or 200 mg 3 days
complicated urinary tract infections 400 mg 710 days
acute pyelonephritis 400 mg 710 days
uncomplicated urethral gonnorrhea in men 400 mg single dose
",gatifloxacin is generally well tolerated the most common side effects that can occur while taking this drug are usually mild and include nausea vomiting stomach pain diarrhea dizzinessand headache ,gatifloxacin exhibits a low potential for acute toxicity in animal studies in the event of acute oral overdose the stomach should be emptied by inducing vomiting or by gastric lavage the patient should be carefully observed including ecg monitoring and given symptomatic and supportive treatment adequate hydration should be maintained,not available,['urinary tract infection gatifloxacin indicated following infection acute bacterial exacerbation chronic bronchitis due streptococcus pneumoniae haemophilus influenzae haemophilus parainfluenzae moraxella catarrhalis staphylococcus aureus acute sinusitis due streptococcus pneumoniae haemophilus influenzae read moregatifloxacin indicated following infection acute bacterial exacerbation chronic bronchitis due streptococcus pneumoniae haemophilus influenzae haemophilus parainfluenzae moraxella catarrhalis staphylococcus aureus acute sinusitis due streptococcus pneumoniae haemophilus influenzae communityacquired pneumonia due streptococcus pneumoniae haemophilus influenzae haemophilus parainfluenzae moraxella catarrhalis staphylococcus aureus mycoplasma pneumoniae chlamydia pneumoniae legionella pneumophila uncomplicated skin skin structure infection ie simple abscess furuncle folliculitis wound infection cellulitis due staphylococcus aureus streptococcus pyogenes uncomplicated urinary tract infection due escherichia coli klebsiella pneumoniae proteus mirabilis complicated urinary tract infection due escherichia coli klebsiella pneumoniae proteus mirabilis pyelonephritis due escherichia coli uncomplicated urethral cervical gonorrhea due neisseria gonorrhoeae acute uncomplicated rectal infection woman due neisseria gonorrhoeae']
514,Gatifloxacin (Ophthalmic),gatifloxacin-ophthalmic-514,https://medex.com.bd/attachments/WLwCR2VKS4HVSkbMiKfpvjxejXhfgY/gatifloxacin-ophthalmic-03-ophthalmic-solution-prescribing-information,Ophthalmic antibacterial drugs,Inflammation of the cornea,"gatifloxacin eye drops is indicated for the treatment of bacterial conjunctivitis caused by susceptible strains of the following organisms 

aerobic grampositive bacteria corynebacterium propinquum staphylococcus aureus staphylococcus epidermidis streptococcus mitis streptococcus pneumoniae
aerobic gramnegative bacteria haemophilus influenzae
","03 eye drops
the recommended dosage regimen for the treatment of bacterial conjunctivitis is 

days 1 and 2 instill one drop every two hours in the affected eyes while awake up to 8 times daily
days 3 through 7 instill one drop up to 4 times daily while awake

05 eye drops
patients 1 year of age or older instill one drop every two hours in the affected eyes while awake up to 8 times on day 1 instill one drop two to four times daily in the affected eyes while awake on days 2 through 7",the most frequently reported adverse events in the overall study population were conjunctival irritation increased lacrimation etc,an overdose of this medication is unlikely to threaten life,store in a cool and dry place away from light keep out of reach of children,['inflammation cornea gatifloxacin eye drop indicated treatment bacterial conjunctivitis caused susceptible strain following organism aerobic grampositive bacteria corynebacterium propinquum staphylococcus aureus staphylococcus epidermidis streptococcus mitis streptococcus pneumoniae aerobic gramnegative bacteria haemophilus influenzae']
513,Ganciclovir (Ophthalmic),ganciclovir-ophthalmic-513,https://medex.com.bd/attachments/Sp3JBwhutGbJDi42Lku1EwpaYlWH4J/ganciclovir-ophthalmic-ophthalmic-gel-prescribing-information,Ophthalmic Anti-viral Products,Herpes simplex keratitis,it is a topical eye antiviral that is indicated for the treatment of acute herpetic keratitis dendritic ulcers,the recommended dosing regimen for ganciclovir eye gel 015 is 1 drop in the affected eye 5 times per day approximately every 3 hours while awake until the corneal ulcer heals and then 1 drop 3 times per day for 7 days,most common adverse reactions reported in patients were blurred vision 60 eye irritation 20 punctate keratitis 5 and conjunctival hyperemia 5,overdose through local or accidental oral administration is not likely,store at 15c to 30c in a dry place protected from light it is desirable that the contents should not be used more than one month after first opening of the tube,['herpes simplex keratitis topical eye antiviral indicated treatment acute herpetic keratitis dendritic ulcer']
1414,Gadoversetamide,gadoversetamide-1414,https://medex.com.bd/attachments/2gQk9JQdJHKwO5UJ5FAAocknH4SdQf/gadoversetamide-prescribing-information,Contrast medium for diagnostic procedures,"Intravenous use in MRI to visualize lesions with abnormal vascularity in the brain, spine and associated tissues","gadoversetamide is a gadoliniumbased paramagnetic contrast agent for diagnostic magnetic resonance imaging mri indicated for intravenous use

in patients with abnormal bloodbrain barrier or abnormal vascularity of the brain spine and associated tissues
to provide contrast enhancement and facilitate visualization of lesions with abnormal vascularity in the liver in patients who are highly suspect for liver structural abnormalities on computed tomograph
",bolus peripheral intravenous injection at a dose of 02 mlkg 01 mmolkg follow injection with a 5 ml normal saline flush complete imaging procedure within 1 hour of injection,most common adverse reactions incidence 2 are headache vasodilatation taste perversion dizziness nausea and paresthesia,clinical consequences of overdosage with gadoversetamide have not been reported treatment of overdose is directed toward supporting vital functions and prompt institution of symptomatic therapy gadoversetamide has been shown to be dialyzable,gadoversetamide should be stored at 20c to 25c and protected from light and freezing gadoversetamide may be stored at 37c for up to one month in a contrast media warmer utilizing circulating warm air for periods longer than one month store at 20c to 25c,['intravenous use mri visualize lesion abnormal vascularity brain spine associated tissue gadoversetamide gadoliniumbased paramagnetic contrast agent diagnostic magnetic resonance imaging mri indicated intravenous use patient abnormal bloodbrain barrier abnormal vascularity brain spine associated tissue provide contrast enhancement facilitate visualization lesion abnormal vascularity liver patient highly suspect liver structural abnormality computed tomograph']
511,Gadodiamide,gadodiamide-511,https://medex.com.bd/attachments/Lzp13q4h2K2p9YuA6ZMU8xtQ53gk7O/gadodiamide-prescribing-information,Contrast medium for diagnostic procedures,"Intravenous use in MRI to visualize lesions with abnormal vascularity in the brain, spine and associated tissues",cns central nervous system gadodiamide is a gadoliniumbased contrast agent indicated for intravenous use in mri to visualize lesions with abnormal vascularity or those thought to cause abnormalities in the bloodbrain barrier in the brain intracranial  read morecns central nervous system gadodiamide is a gadoliniumbased contrast agent indicated for intravenous use in mri to visualize lesions with abnormal vascularity or those thought to cause abnormalities in the bloodbrain barrier in the brain intracranial lesions spine and associated tissuesbody intrathoracic noncardiac intraabdominal pelvic and retroperitoneal regions gadodiamide is a gadoliniumbased contrast agent indicated for intravenous use in mri to facilitate the visualization of lesions with abnormal vascularity within the thoracic noncardiac abdominal pelvic cavities and the retroperitoneal space,"no special preparation of the patient is required gadodiamide should be drawn into the syringe immediately before usethe vial is intended for one patient only contrast medium not used in one examination must be discarded cns central nervous system

adults the recommended dose of gadodiamide is 02 mlkg 01 mmolkg administered as a bolus intravenous injection
pediatric patients 216 years the recommended dose of gadodiamide is 02 mlkg 01 mmolkg administered as a bolus intravenous injection

body intrathoracic noncardiac intraabdominal pelvic and retroperitoneal regions

adult and pediatric patients 216 years of age for imaging the kidney the recommended dose of gadodiamide is 01 mlkg 005 mmolkg for imaging the intrathoracic noncardiac intraabdominal and pelvic cavities the recommended dose of gadodiamide is 02 mlkg 01 mmolkg
",nephrogenic systemic fibrosis hypersensitivity reactions,clinical consequences of overdose have not been reported and acute symptoms of toxicity are unlikely in patients with a normal renal function treatment is symptomatic there is no antidote for this contrast medium in patients with delayed elimination due to renal insufficiency and in patients who have received excessive doses the contrast medium can be eliminated by haemodialysis,store at temperatures not exceeding 25 c protect from light,['intravenous use mri visualize lesion abnormal vascularity brain spine associated tissue cns central nervous system gadodiamide gadoliniumbased contrast agent indicated intravenous use mri visualize lesion abnormal vascularity thought cause abnormality bloodbrain barrier brain intracranial read morecns central nervous system gadodiamide gadoliniumbased contrast agent indicated intravenous use mri visualize lesion abnormal vascularity thought cause abnormality bloodbrain barrier brain intracranial lesion spine associated tissuesbody intrathoracic noncardiac intraabdominal pelvic retroperitoneal region gadodiamide gadoliniumbased contrast agent indicated intravenous use mri facilitate visualization lesion abnormal vascularity within thoracic noncardiac abdominal pelvic cavity retroperitoneal space']
510,Gabapentin,gabapentin-510,https://medex.com.bd/attachments/GGuZTfj9qx9i0w84yuuo8qGTwFwkk9/gabapentin-prescribing-information,Adjunct anti-epileptic drugs,Trigeminal neuralgia,"gabapentin is indicated for

neuropathic pain
adjunctive therapy in partial seizure and secondary generalized seizure
","neuropathic pain the treatment may be initiated as a single 300 mg dose on day1 than 300 mg twice on day2 and 300 mg thrice on day3 the dose can be subsequently be titrated up as needed for pain relief to a daily dose of 1800 mg divided tidepilepsy

patients over 12 years of age the effective dose of gabapentin is 900 to 1800 mgday given in three divided doses the starting dose is 300 mg three times a day
paediatric patients age 312 year the starting dose should range from 1015 mgkgday in 3 divided doses and the effective dose reached by upward titration over a period of approximately three days
",fatigue dizziness ataxia weight gain peripheral edema dry mouth and somnolence may occur,not available,store below 25c temperature protect from light and moisture keep all the medicines out of the reach of the children,['trigeminal neuralgia gabapentin indicated neuropathic pain adjunctive therapy partial seizure secondary generalized seizure']
509,Fusidic acid + Hydrocortisone,fusidic-acid-hydrocortisone-509,https://medex.com.bd/attachments/eN1LLcmMnjfRR3XUsYGhCNhX72TASc/fusidic-acid-hydrocortisone-prescribing-information,Hydrocortisone & Combined preparations,Seborrhoeic dermatitis,"in following skin diseases where bacterial infections are already present or suspected to occur

primary irritant dermatitis
contact allergic dermatitis
eczema atopic infantile discoid stasis
seborrhoeic dermatitis
",adults this cream should be applied 3 times daily and gently massaged onto the affected areas for 2 weeks a shorter course should be considered if symptoms improvechildren it is not recommended in children under 3 years of age,fusidic acid has been reported to cause mild irritation at the application site but did not usually require discontinuation of therapy reports of hypersensitivity reactions have been rare adverse effects are generally local and include dryness itching burning local irritation striae skin atrophy atrophy of subcutaneous tissues telangiectasia hypertrichosis change in pigmentation and secondary infection if applied to the face acne rosacea or perioral dermatitis can occur,not available,store below 30c away from light and moisture keep out of the reach of children,['seborrhoeic dermatitis following skin disease bacterial infection already present suspected occur primary irritant dermatitis contact allergic dermatitis eczema atopic infantile discoid stasis seborrhoeic dermatitis']
1972,Fusidic acid + Betamethasone,fusidic-acid-betamethasone-1972,https://medex.com.bd/attachments/S2KBnDc016Kq2dqJoKoM6mE6gWwYgy/fusidic-acid-betamethasone-prescribing-information,Other Topical corticosteroids,Seborrhoeic dermatitis,this cream is indicated in eczema and dermatitis with secondary infections including atopic dermatitis allergic and seborrhoeic dermatitis and primary irritant dermatitis,adults it should be applied 2 times daily and gently massaged into the affected areas for 2 weeks a shorter course should be considered if symptoms improvechildren it is not recommended in children under 3 years of age,possible side effects are allergic reactions headache skin rash redness or itching unusual tiredness or weakness yellow eyes or skin,not available,keep out of reach of children store in a dry place below 25c temperature and protected from light,['seborrhoeic dermatitis cream indicated eczema dermatitis secondary infection including atopic dermatitis allergic seborrhoeic dermatitis primary irritant dermatitis']
1836,Glycopyrronium Bromide (Oral solution),glycopyrronium-bromide-oral-solution-1836,https://medex.com.bd/attachments/ZNyoka7bwiCWYfMz4uvV6FnKSvA7v2/glycopyrronium-bromide-oral-solution-prescribing-information,Anticholinergics (antimuscarinics)/ Anti-spasmodics,Cerebral palsy,glycopyrronium bromide is indicated to reduce chronic severe drooling in patients aged 3 to 16 years with neurologic conditions associated with problem drooling eg cerebral palsy,glycopyrronium bromide oral solution must be measured and administered with an accurate measuring device initiate dosing at 002 mgkg orally three times daily and titrate in increments of 002 mgkg every 57 days based on therapeutic response and adverse reactions the maximum recommended dosage is 01 mgkg three times daily not to exceed 153 mg per dose based upon weight during the fourweek titration period dosing can be increased with the recommended dose titration schedule while ensuring that the anticholinergic adverse events are tolerable prior to each increase in dose review the tolerability of the current dose level with the patients caregiverglycopyrronium bromide oral solution should be dosed at least one hour before or two hours after meals the presence of highfat food reduces the oral bioavailability of this oral solution if taken shortly after a meal,"
gastrointestinal abdominal distention abdominal pain stomach discomfort chapped lips flatulence retching dry tongue
general disorders irritability pain
infections pneumonia sinusitis tracheostomy infection upper respiratory tract infection urinary tract infection
investigations heart rate increase
metabolism and nutrition dehydration
nervous system headache convulsion dysgeusia nystagmus
psychiatric agitation restlessness abnormal behavior aggression crying impulse control disorder moaning mood altered
respiratory increased viscosity of bronchial secretion nasal congestion nasal dryness
skin dry skin pruritus rash
vascular pallor
","because glycopyrrolate is a quaternary amine which does not easily cross the bloodbrain barrier symptoms of glycopyrrolate overdosage are generally more peripheral in nature rather than central compared to other anticholinergic agents in case of accidental overdose therapy may include

maintain an open airway providing ventilation as necessary
managing any acute conditions such as hyperthermia coma and or seizures as applicable and managing any jerky myoclonic movements or choreoathetosis which may lead to rhabdomyolysis in some cases of anticholinergic overdosage
administering a quaternary ammonium anticholinesterase such as neostigmine to help alleviateperipheral anticholinergic effects such as anticholinergic induced ileus
administering activated charcoal orally as appropriate
",keep below 30c temperature away from light  moisture keep out of the reach of children,['cerebral palsy glycopyrronium bromide indicated reduce chronic severe drooling patient aged 3 16 year neurologic condition associated problem drooling eg cerebral palsy']
553,Glycopyrronium Bromide (Injection),glycopyrronium-bromide-injection-553,https://medex.com.bd/attachments/ydYRaa7C7THtIUYQN8PBdhxOLwEyQ4/glycopyrronium-bromide-injection-injection-prescribing-information,Anticholinergics (antimuscarinics)/ Anti-spasmodics,Reverse residual neuromuscular blockade,"in anesthesia

as a preoperative antimuscarinic agent to reduce salivary tracheobronchial and pharyngeal sections and to reduce the acidity of the gastric contents
as a preoperative or intraoperative antimuscarinic to attenuate or prevent intraoperative bradycardia with the use of suxamethonium or due to cardiac vagal reflexes  read morein anesthesia

as a preoperative antimuscarinic agent to reduce salivary tracheobronchial and pharyngeal sections and to reduce the acidity of the gastric contents
as a preoperative or intraoperative antimuscarinic to attenuate or prevent intraoperative bradycardia with the use of suxamethonium or due to cardiac vagal reflexes
to protect against the peripheral muscarinic actions of anticholinesterases such as neostigmine and pyridostigmine used to reverse residual neuromuscular blockade produced by nondepolarizing muscle relaxants

in peptic ulcer for use in adults as adjunctive therapy for the treatment of a peptic ulcer when the rapid anticholinergic effect is desired or when oral medication is not tolerated","preanesthetic use

adults 02 mg to 04 mg intravenously or intramuscularly before the induction of anesthesia alternatively a dose of 0004 to 0005 mgkg up to a maximum of 04 mg may be used larger doses may result in profound and prolonged antisialogogue effect which may be unpleasant for the patient
children 1 month to 12 years of age 0004 to 0008 mgkg up to a maximum of 02 mg intravenously or intramuscularly before the induction of anesthesia larger doses may result in profound and prolonged antisialogogue effect which may be unpleasant for the patient

intraoperative use when used to treat arrhythmias associated with traction reflexes the usual attempts should be made to determine the aetiology of the arrhythmia and the surgical or anesthetic manipulations necessary to correct parasympathetic imbalance should be performed


adults in those situations where intraoperative use is indicated a single dose of 02 to 04 mg or 0004 to 0005 mgkg up to a maximum of 04 mg by intravenous injection should be used this dose may be repeated if necessary
children 1 month to 12 years of age in those situations where intraoperative use is indicated a single dose of 0004 to 0008 mgkg or up to a maximum of 02 mg by intravenous injection should be used this dose may be repeated if necessary

reversal of neuromuscular blockade

adults 02 mg intravenously per 1 mg neostigmine or the equivalent dose of pyridostigmine alternatively a dose of 0010015 mg intravenously with 005 mgkg neostigmine or equivalent dose of pyridostigmine glycopyrronium may be administered simultaneously from the same syringe with the anticholinesterase greater cardiovascular stability results from this method of administration
children 1 month to 12 years of age 001 mgkg intravenously with 005 mgkg neostigmine or the equivalent dose of pyridostigmine glycopyrronium may be administered simultaneously from the same syringe with the anticholinesterase greater cardiovascular stability results from this method of administration

","side effects of antimuscarinics such as glycopyrronium bromide are basically extensions of the fundamental pharmacological action these include constipation transient bradycardia followed by tachycardia palpitations and arrhythmias reduced bronchial secretions urinary urgency and retention dilatation of the pupils with loss of accommodation photophobia dry mouth flushing and dryness of the skin side effects that occur occasionally include confusion particularly in the elderly nausea vomiting and giddiness the following reported adverse reactions are extensions of glycopyrronium bromides fundamental pharmacological actions

cardiovascular tachycardia ventricular fibrillation bradycardia palpitation and arrhythmia hypertension hypotension cardiac arrest heart block prolonged qtc interval
dermatological flushing and inhibition of sweating severe allergic reactions or drug idiosyncrasies including urticaria and other dermal manifestations pruritus dry skin
gastrointestinal nausea vomiting dry mouth constipation taste alterations including loss of taste
genitourinary urinary hesitancy and retention impotence
ocular blurred vision due to mydriasis cycloplegia photophobia increased ocular tension
nervous system inhibition of transmission at neuromuscular junction headache nervousness drowsiness dizziness seizure insomnia some degree of mental confusion especially in the elderly hyperexcitability in children
pregnancy and perinatal suppression of lactation
respiratory system respiratory arrest
general hyperpyrexia bloated feeling anaphylaxisanaphylactoid reaction and hypersensitivity injection site reactions including pruritus oedema erythema pain have been reported rarely
",glycopyrronium bromide is a quaternary ammonium agent and symptoms of overdosage are peripheral rather than central in nature excessive peripheral anticholinergic effects may be countermanded by giving intravenously a quaternary ammonium anticholinesterase such as neostigmine methylsulphate in increments of 025 mg in adults the dose may be repeated every 510 minutes until anticholinergic overactivity is reversed or up to a maximum of 25 mg proportionately smaller doses should be used in children,keep below 25c temperature away from light  moisture keep out of the reach of children,['reverse residual neuromuscular blockade anesthesia preoperative antimuscarinic agent reduce salivary tracheobronchial pharyngeal section reduce acidity gastric content preoperative intraoperative antimuscarinic attenuate prevent intraoperative bradycardia use suxamethonium due cardiac vagal reflex read morein anesthesia preoperative antimuscarinic agent reduce salivary tracheobronchial pharyngeal section reduce acidity gastric content preoperative intraoperative antimuscarinic attenuate prevent intraoperative bradycardia use suxamethonium due cardiac vagal reflex protect peripheral muscarinic action anticholinesterase neostigmine pyridostigmine used reverse residual neuromuscular blockade produced nondepolarizing muscle relaxant peptic ulcer use adult adjunctive therapy treatment peptic ulcer rapid anticholinergic effect desired oral medication tolerated']
1466,Glycopyrronium Bromide (Inhalation capsule),glycopyrronium-bromide-inhalation-capsule-1466,https://medex.com.bd/attachments/WEBcSIyjWlauG60uV0HAQk9PNAWzjM/glycopyrronium-bromide-inhalation-capsule-prescribing-information,Bronchodilator,Emphysema,maintenance bronchodilator treatment to relieve symptoms in adult patients with chronic obstructive pulmonary disease copd,the recommended dosage of glycopyrronium is the inhalation of the contents of one capsule once daily with the convihaler device at the same time of day,inhaled medicines may cause inhalationinduced bronchospasm dehydration dry mouth constipation dizziness insomnia skin and subcutaneous tissue disorders immune system disorders,high doses of glycopyrronium may lead to anticholinergic signs and symptoms however there were no systemic anticholinergic adverse effects following a single inhaled dose of up to 150 micrograms glycopyrronium in healthy volunteers,should be stored at temperature not exceeding 25c but do not freeze should be stored in cool and dry place protected from light,['emphysema maintenance bronchodilator treatment relieve symptom adult patient chronic obstructive pulmonary disease copd']
533,Glycine,glycine-533,https://medex.com.bd/attachments/tWgrEwHvTL8PY7SXrbjRnUP96OZcSC/glycine-prescribing-information,Irrigation Solution used in Urological Surgery,Supports normal prostate function,"this is indicated as irrigating fluid of choice in

transurethral resection of prostate
endoscopic procedures within the urinary tract
urinary bladder surgery etc
",the total volume of solution used for irrigation depends on the judgment of the attending surgeon height from the operating table of 60 cm approx 2ft is likely to cause increased intravascular absorption of glycine,large intravenous doses of glycine are known to cause nausea and salivation other consequences of systemic absorption of glycine include electrolyte loss diuresis edaema thirst dehydration cardiovascular and pulmonary disorders,not available,store at controlled room temperature protect from light and heat,['support normal prostate function indicated irrigating fluid choice transurethral resection prostate endoscopic procedure within urinary tract urinary bladder surgery etc']
530,Glycerol + Liquid Sugar,glycerol-liquid-sugar-530,not available,Combined cough suppressants,Sore throat,glycerol  liquid sugar is indicated in relief of dry irritating cough and sore throat it also assists in relieving productive cough,adults including the elderly and children over 5 years two 5 ml spoonful 10 mlchildren 1 to 5 years one 5 ml spoonful 5 mlchildren 3 month to 1 year  to 1 spoonful 25 to 5 mlthe dose should be repeated three or four times a day as required,this medicine is unlikely to cause side effects unless the patient is allergic to the ingredients,over dosage would not be expected to cause any problems and treatment would be merely symptomatic and supportive,should be stored in a cool and dry place protected from light,['sore throat glycerol liquid sugar indicated relief dry irritating cough sore throat also assist relieving productive cough']
552,Glycerol + Hypromellose + Polyethylene Glycol 400,glycerol-hypromellose-polyethylene-glycol-400-552,not available,Drugs for Dry eyes,Watery eye,it is indicated for the symptomatic relief of burning irritation and discomfort due to dryness of the eye or exposure to wind or sun it is also indicated for the treatment of keratoconjunctivitis sicca,1 to 2 drops in the affected eyes up to 4 times daily,occasionally mild transient burning or sticky sensation and very rarely irritation or hypersensitivity reactions reported blurred vision after application may occur,not available,store at room temperature it is desirable that the contents should not be used more than 4 weeks after first opening of the bottle,['watery eye indicated symptomatic relief burning irritation discomfort due dryness eye exposure wind sun also indicated treatment keratoconjunctivitis sicca']
1620,Glycerol,glycerol-1620,not available,Miscellaneous topical agents,Skin irritations,this jelly is indicated to enhance the comfort and ease of intimate activity with or without latex condoms this personal lubricant can be safely applied directly to a genital body orifice or a latex condom the product can be used inside condoms to facilitate application or outside for lubrication during intercourses,apply the desired amount of lubricant to your intimate areas reapply as needed this jelly is not applicable for pediatric use,no common side effects have been reported with this preparation few allergic reactions rash hives itching difficulty breathing tightness in the chest swelling of the mouth face lips or tongue new or worsening skin irritation may occur,not available,store at room temperature below 30c do not freeze,['skin irritation jelly indicated enhance comfort ease intimate activity without latex condom personal lubricant safely applied directly genital body orifice latex condom product used inside condom facilitate application outside lubrication intercourse']
1479,Glycerin + Hypromellose + Polyethylene glycol + Tetrahydrozoline + Zinc Sulfate,glycerin-hypromellose-polyethylene-glycol-tetrahydrozoline-zinc-sulfate-1479,https://medex.com.bd/attachments/4adykrXIX1GQ3VBKMRW3pCNdlz1os1/glycerin-hypromellose-polyethylene-glycol-tetrahydrozoline-zinc-sulfate-prescribing-information,Other ophthalmic preparations,Skin infections,"this eye drop is indicated

for the relief of discomfort and redness of the eye due to minor eye irritations
relieves dryness of the eye
for the temporary relief of burning and irritation due to exposure to wind or sun
for protection against further irritation
","
put 1 to 2 drops in the affected eyes up to 4 times a daily
children under 6 years of age ask a doctor
",possible side effects include temporary stinging or burning redness itching and watering of the eye,not available,keep out of reach of children if swallowed get medical help or contact a poison control center right away,['skin infection eye drop indicated relief discomfort redness eye due minor eye irritation relief dryness eye temporary relief burning irritation due exposure wind sun protection irritation']
531,Glycerin,glycerin-531,https://medex.com.bd/attachments/9jXQNbIqqm8RSDZcUkxDphvxIwNMtS/glycerin-prescribing-information,Osmotic purgatives,Lubrication,glycerin suppository is used for the relief of occasional constipation,children under 2 years as directed by the physicianchildren 2 to 6 years only 1 glycerin 115 suppository per day or as directed by the physicianadults and children from 6 years only 1 glycerin 230 suppository per day or as directed by the physicianinsert suppository well up into the rectum suppository does not need to melt completely to produce laxative action,when glycerin used rectally may cause rectal discomfort or a burning sensation,not available,keep below 25c temperature away from light  moisture keep out of the reach of children,['lubrication glycerin suppository used relief occasional constipation']
